branch,cutoff_date,area,region,first_date_disbursement,active_borrowers,active_agent,deliquency_rate,outstanding,weekly_disbursement,weekly_new_borrower_per_bp
POINTID_59,2018-09-08,AREAID_25,REGIONID_JT,2018-05-05,395,3,0%,1000,75,13
POINTID_63,2018-09-08,AREAID_13,REGION_JR2,2018-05-05,391,2,0%,950,0,
POINTID_72,2018-09-08,AREAID_19,REGIONID_JT,2018-05-19,457,2,0%,1200,65,11
POINTID_74,2018-09-08,AREAID_16,REGIONID_JT,2018-07-07,239,2,0%,750,90,13
POINTID_97,2018-09-08,AREAID_15,REGION_JR1,2018-07-21,255,2,0%,750,175,28
POINTID_93,2018-09-08,AREAID_23,REGION_JR2,2018-07-28,286,2,0%,800,175,30
POINTID_107,2018-09-08,AREAID_22,REGIONID_JT,2018-08-25,13,1,0%,0,5,1
POINTID_35,2018-09-08,AREAID_1,REGION_JH,2017-07-29,1517,5,5%-10%,2500,110,5
POINTID_44,2018-09-08,AREAID_29,REGION_JH,2017-09-09,1587,7,5%-10%,3200,90,7
POINTID_46,2018-09-08,AREAID_21,REGION_JR1,2017-09-16,1786,8,0%,4050,140,5
POINTID_22,2018-09-08,AREAID_7,REGIONID_N,2017-04-29,1141,7,5%-10%,2300,115,4
POINTID_47,2018-09-08,AREAID_21,REGION_JR1,2017-09-16,2391,8,0%,4700,130,7
POINTID_87,2018-09-08,AREAID_16,REGIONID_JT,2018-07-21,189,3,0%,550,85,9
POINTID_85,2018-09-08,AREAID_22,REGIONID_JT,2018-08-04,161,2,0%,450,40,13
POINTID_89,2018-09-08,AREAID_11,REGION_JH,2018-07-28,113,2,0%,250,65,9
POINTID_32,2018-09-08,AREAID_27,REGION_JR1,2017-07-22,1559,6,>10%,3900,10,2
POINTID_58,2018-09-08,AREAID_7,REGIONID_N,2018-01-13,851,3,1%-2.5%,1650,5,3
POINTID_64,2018-09-08,AREAID_13,REGION_JR2,2018-05-05,420,2,0%,1050,65,12
POINTID_71,2018-09-08,AREAID_19,REGIONID_JT,2018-06-02,454,3,0%,1300,70,11
POINTID_61,2018-09-08,AREAID_25,REGIONID_JT,2018-07-21,161,2,0%,450,50,9
POINTID_92,2018-09-08,AREAID_4,REGION_JH,2018-07-28,124,2,0%,300,55,11
POINTID_98,2018-09-08,AREAID_10,REGIONID_JT,2018-07-14,193,2,0%,550,10,2
POINTID_49,2018-09-01,AREAID_21,REGION_JR1,2017-09-16,1728,8,1%-2.5%,3650,150,7
POINTID_48,2018-09-01,AREAID_21,REGION_JR1,2017-09-09,1610,8,0%-1%,3450,90,6
POINTID_51,2018-09-01,AREAID_29,REGION_JH,2017-09-09,1522,6,5%-10%,3500,65,6
POINTID_70,2018-09-01,AREAID_9,REGIONID_N,2018-05-12,573,3,0%,1700,40,4
POINTID_47,2018-09-01,AREAID_21,REGION_JR1,2017-09-16,2347,8,0%,4700,90,7
POINTID_23,2018-09-01,AREAID_7,REGIONID_N,2017-05-06,1424,9,2.5%-5%,3100,10,1
POINTID_35,2018-09-01,AREAID_1,REGION_JH,2017-07-29,1491,5,5%-10%,2450,30,3
POINTID_42,2018-09-01,AREAID_27,REGION_JR1,2017-09-09,1132,5,0%,2600,35,5
POINTID_44,2018-09-01,AREAID_29,REGION_JH,2017-09-09,1559,7,5%-10%,3200,40,5
POINTID_87,2018-09-01,AREAID_16,REGIONID_JT,2018-07-21,162,3,0%,500,45,7
POINTID_37,2018-09-01,AREAID_1,REGION_JH,2017-08-05,1492,5,2.5%-5%,2700,5,2
POINTID_54,2018-09-01,AREAID_24,REGIONID_JT,2017-11-11,1393,6,0%,2500,80,9
POINTID_63,2018-09-01,AREAID_13,REGION_JR2,2018-05-05,391,3,0%,950,15,6
POINTID_82,2018-09-01,AREAID_9,REGIONID_N,2018-07-21,243,2,0%,800,20,3
POINTID_41,2018-09-01,AREAID_27,REGION_JR1,2017-08-19,1069,3,5%-10%,2100,30,10
POINTID_45,2018-09-01,AREAID_21,REGION_JR1,2017-09-16,2139,8,0%-1%,4800,275,13
POINTID_80,2018-09-01,AREAID_26,REGIONID_N,2018-07-21,114,1,0%,300,35,13
POINTID_102,2018-09-01,AREAID_26,REGIONID_N,2018-08-04,66,2,0%,150,45,8
POINTID_103,2018-09-01,AREAID_18,REGION_JR2,2018-08-18,44,1,0%,100,10,4
POINTID_105,2018-09-01,AREAID_12,REGION_JR1,2018-08-25,9,1,0%,0,25,9
POINTID_33,2018-09-01,AREAID_27,REGION_JR1,2017-07-22,1004,3,2.5%-5%,2650,0,
POINTID_46,2018-09-01,AREAID_21,REGION_JR1,2017-09-16,1763,8,0%,4050,180,8
POINTID_60,2018-09-01,AREAID_25,REGIONID_JT,2018-04-28,389,3,0%,1000,60,10
POINTID_83,2018-09-01,AREAID_5,REGIONID_N,2018-07-14,208,2,0%,650,55,17
POINTID_94,2018-09-01,AREAID_23,REGION_JR2,2018-07-28,158,3,0%,450,40,7
POINTID_89,2018-09-01,AREAID_11,REGION_JH,2018-07-28,87,2,0%,200,40,6
POINTID_85,2018-09-01,AREAID_22,REGIONID_JT,2018-08-04,148,2,0%,450,235,77
POINTID_9,2018-09-01,AREAID_31,REGIONID_JT,2016-09-17,1932,8,1%-2.5%,3250,0,1
POINTID_29,2018-09-01,AREAID_14,REGION_JR2,2017-07-29,2597,7,0%,6100,155,4
POINTID_76,2018-09-01,AREAID_6,REGIONID_JT,2018-08-11,116,2,0%,350,125,19
POINTID_95,2018-09-01,AREAID_18,REGION_JR2,2018-08-11,108,2,0%,300,75,13
POINTID_107,2018-09-01,AREAID_22,REGIONID_JT,2018-08-25,11,1,0%,0,30,6
POINTID_34,2018-09-01,AREAID_27,REGION_JR1,2017-07-15,1778,6,0%,4250,120,9
POINTID_32,2018-09-01,AREAID_27,REGION_JR1,2017-07-22,1556,7,1%-2.5%,4000,35,5
POINTID_55,2018-09-01,AREAID_24,REGIONID_JT,2017-11-04,1243,4,0%,2000,0,
POINTID_75,2018-09-01,AREAID_6,REGIONID_JT,2018-05-26,459,2,0%,1350,40,6
POINTID_71,2018-09-01,AREAID_19,REGIONID_JT,2018-06-02,432,3,0%,1250,105,11
POINTID_78,2018-09-01,AREAID_28,REGION_JR1,2018-05-26,380,2,0%,1000,15,3
POINTID_61,2018-09-01,AREAID_25,REGIONID_JT,2018-07-21,144,2,0%,400,90,16
POINTID_92,2018-09-01,AREAID_4,REGION_JH,2018-07-28,102,2,0%,250,45,9
POINTID_99,2018-09-01,AREAID_17,REGION_JH,2018-08-18,37,2,0%,100,35,13
POINTID_15,2018-09-01,AREAID_8,REGIONID_JT,2016-11-12,1864,8,>10%,4600,0,
POINTID_28,2018-09-01,AREAID_20,REGION_JH,2017-06-03,979,3,2.5%-5%,1850,0,1
POINTID_39,2018-09-01,AREAID_14,REGION_JR2,2017-08-19,2095,5,0%,4900,190,10
POINTID_62,2018-09-01,AREAID_13,REGION_JR2,2018-05-05,418,2,0%,1000,50,10
POINTID_86,2018-09-01,AREAID_19,REGIONID_JT,2018-07-21,137,2,0%,400,5,2
POINTID_8,2018-09-01,AREAID_30,REGIONID_JT,2016-09-03,2058,8,0%,3850,100,4
POINTID_12,2018-09-01,AREAID_30,REGIONID_JT,2016-10-08,1411,8,0%-1%,3200,65,10
POINTID_30,2018-09-01,AREAID_14,REGION_JR2,2017-07-29,2630,7,0%,5850,295,6
POINTID_65,2018-09-01,AREAID_2,REGION_JR1,2018-05-26,381,3,0%,1000,90,11
POINTID_98,2018-09-01,AREAID_10,REGIONID_JT,2018-07-14,189,2,0%,550,85,9
POINTID_96,2018-09-01,AREAID_18,REGION_JR2,2018-08-18,77,2,0%,200,120,20
POINTID_108,2018-09-01,AREAID_28,REGION_JR1,2018-08-18,73,2,0%,200,75,13
POINTID_43,2018-09-01,AREAID_29,REGION_JH,2017-09-09,1891,8,>10%,4300,20,8
POINTID_31,2018-09-01,AREAID_14,REGION_JR2,2017-07-29,2402,6,0%,5250,90,4
POINTID_100,2018-09-01,AREAID_9,REGIONID_N,2018-08-11,111,2,0%,350,95,14
POINTID_79,2018-09-01,AREAID_28,REGION_JR1,2018-08-04,94,1,0%,250,125,22
POINTID_90,2018-09-01,AREAID_11,REGION_JH,2018-08-11,26,1,0%,50,35,13
POINTID_106,2018-09-01,AREAID_22,REGIONID_JT,2018-08-25,24,1,0%,50,70,24
POINTID_14,2018-09-01,AREAID_8,REGIONID_JT,2016-10-15,1528,7,>10%,3800,15,0
POINTID_20,2018-09-01,AREAID_7,REGIONID_N,2017-04-22,1750,9,>10%,4150,105,4
POINTID_36,2018-09-01,AREAID_1,REGION_JH,2017-08-12,1439,6,5%-10%,3100,95,6
POINTID_50,2018-09-01,AREAID_29,REGION_JH,2017-09-09,1142,6,1%-2.5%,2550,20,2
POINTID_58,2018-09-01,AREAID_7,REGIONID_N,2018-01-13,849,3,1%-2.5%,1700,10,4
POINTID_77,2018-09-01,AREAID_6,REGIONID_JT,2018-07-14,199,2,0%,550,75,13
POINTID_10,2018-09-01,AREAID_8,REGIONID_JT,2016-09-10,1233,6,>10%,2500,5,0
POINTID_16,2018-09-01,AREAID_8,REGIONID_JT,2017-03-25,2783,10,2.5%-5%,6300,135,1
POINTID_52,2018-09-01,AREAID_29,REGION_JH,2017-09-09,1793,6,0%,3800,60,4
POINTID_57,2018-09-01,AREAID_24,REGIONID_JT,2017-11-11,1189,4,0%,2050,45,6
POINTID_56,2018-09-01,AREAID_24,REGIONID_JT,2017-11-11,1188,4,0%,1950,25,5
POINTID_72,2018-09-01,AREAID_19,REGIONID_JT,2018-05-19,435,2,0%,1150,65,11
POINTID_73,2018-09-01,AREAID_16,REGIONID_JT,2018-05-26,365,3,0%,1100,120,13
POINTID_74,2018-09-01,AREAID_16,REGIONID_JT,2018-07-07,213,2,0%,650,50,15
POINTID_93,2018-09-01,AREAID_23,REGION_JR2,2018-07-28,227,2,0%,600,45,8
POINTID_19,2018-09-01,AREAID_7,REGIONID_N,2017-04-15,1892,7,2.5%-5%,4250,135,3
POINTID_25,2018-09-01,AREAID_20,REGION_JH,2017-06-10,1252,6,0%,2450,90,8
POINTID_40,2018-09-01,AREAID_14,REGION_JR2,2017-08-26,1970,6,0%,4500,180,9
POINTID_38,2018-09-01,AREAID_1,REGION_JH,2017-08-12,1524,5,2.5%-5%,2950,30,5
POINTID_67,2018-09-01,AREAID_5,REGIONID_N,2018-04-28,763,3,0%,2150,70,10
POINTID_59,2018-09-01,AREAID_25,REGIONID_JT,2018-05-05,370,3,0%,950,150,26
POINTID_97,2018-09-01,AREAID_15,REGION_JR1,2018-07-21,199,2,0%,550,30,5
POINTID_68,2018-09-01,AREAID_5,REGIONID_N,2018-06-30,300,2,0%,950,55,9
POINTID_24,2018-09-01,AREAID_20,REGION_JH,2017-06-10,953,4,0%,1600,40,4
POINTID_22,2018-09-01,AREAID_7,REGIONID_N,2017-04-29,1114,7,5%-10%,2300,110,6
POINTID_66,2018-09-01,AREAID_2,REGION_JR1,2018-05-26,417,3,0%,1100,95,8
POINTID_81,2018-09-01,AREAID_26,REGIONID_N,2018-07-21,154,2,0%,400,65,11
POINTID_101,2018-09-01,AREAID_15,REGION_JR1,2018-08-04,132,2,0%,350,40,7
POINTID_53,2018-09-01,AREAID_24,REGIONID_JT,2017-11-11,1448,6,0%,2550,60,7
POINTID_64,2018-09-01,AREAID_13,REGION_JR2,2018-05-05,397,2,0%,1000,60,10
POINTID_91,2018-09-01,AREAID_4,REGION_JH,2018-07-28,89,1,0%,200,5,2
POINTID_17,2018-09-01,AREAID_8,REGIONID_JT,2017-03-25,2828,12,0%,5600,60,0
POINTID_55,2018-08-25,AREAID_24,REGIONID_JT,2017-11-04,1243,5,0%,2100,25,5
POINTID_70,2018-08-25,AREAID_9,REGIONID_N,2018-05-12,561,3,0%,1700,150,15
POINTID_71,2018-08-25,AREAID_19,REGIONID_JT,2018-06-02,399,3,0%,1200,130,14
POINTID_77,2018-08-25,AREAID_6,REGIONID_JT,2018-07-14,174,2,0%,500,150,24
POINTID_91,2018-08-25,AREAID_4,REGION_JH,2018-07-28,87,1,0%,200,30,12
POINTID_99,2018-08-25,AREAID_17,REGION_JH,2018-08-18,24,1,0%,50,65,24
POINTID_42,2018-08-25,AREAID_27,REGION_JR1,2017-09-09,1122,5,0%,2650,45,4
POINTID_23,2018-08-25,AREAID_7,REGIONID_N,2017-05-06,1442,7,2.5%-5%,3200,35,1
POINTID_28,2018-08-25,AREAID_20,REGION_JH,2017-06-03,979,4,1%-2.5%,1900,20,3
POINTID_62,2018-08-25,AREAID_13,REGION_JR2,2018-05-05,399,2,0%,1000,55,19
POINTID_66,2018-08-25,AREAID_2,REGION_JR1,2018-05-26,385,2,0%,1000,105,12
POINTID_87,2018-08-25,AREAID_16,REGIONID_JT,2018-07-21,148,2,0%,450,30,5
POINTID_9,2018-08-25,AREAID_31,REGIONID_JT,2016-09-17,1939,8,0%-1%,3400,15,0
POINTID_54,2018-08-25,AREAID_24,REGIONID_JT,2017-11-11,1367,5,0%,2500,45,0
POINTID_40,2018-08-25,AREAID_14,REGION_JR2,2017-08-26,1928,6,0%,4500,110,4
POINTID_57,2018-08-25,AREAID_24,REGIONID_JT,2017-11-11,1174,4,0%,2050,70,9
POINTID_76,2018-08-25,AREAID_6,REGIONID_JT,2018-08-11,79,2,0%,250,150,23
POINTID_95,2018-08-25,AREAID_18,REGION_JR2,2018-08-11,82,2,0%,200,195,33
POINTID_79,2018-08-25,AREAID_28,REGION_JR1,2018-08-04,51,1,0%,100,45,16
POINTID_17,2018-08-25,AREAID_8,REGIONID_JT,2017-03-25,2869,11,0%,5800,90,3
POINTID_31,2018-08-25,AREAID_14,REGION_JR2,2017-07-29,2389,6,0%,5350,325,13
POINTID_45,2018-08-25,AREAID_21,REGION_JR1,2017-09-16,2054,8,0%-1%,4650,160,7
POINTID_22,2018-08-25,AREAID_7,REGIONID_N,2017-04-29,1092,6,5%-10%,2250,150,6
POINTID_89,2018-08-25,AREAID_11,REGION_JH,2018-07-28,71,2,0%,150,40,6
POINTID_10,2018-08-25,AREAID_8,REGIONID_JT,2016-09-10,1245,7,>10%,2550,25,0
POINTID_25,2018-08-25,AREAID_20,REGION_JH,2017-06-10,1227,5,0%,2400,65,6
POINTID_16,2018-08-25,AREAID_8,REGIONID_JT,2017-03-25,2788,9,2.5%-5%,6400,160,0
POINTID_56,2018-08-25,AREAID_24,REGIONID_JT,2017-11-11,1180,4,0%,2000,35,7
POINTID_67,2018-08-25,AREAID_5,REGIONID_N,2018-04-28,743,3,0%,2150,105,11
POINTID_72,2018-08-25,AREAID_19,REGIONID_JT,2018-05-19,414,2,0%,1150,20,4
POINTID_14,2018-08-25,AREAID_8,REGIONID_JT,2016-10-15,1527,7,>10%,3900,5,0
POINTID_49,2018-08-25,AREAID_21,REGION_JR1,2017-09-16,1698,8,1%-2.5%,3650,95,5
POINTID_20,2018-08-25,AREAID_7,REGIONID_N,2017-04-22,1736,7,>10%,4150,20,2
POINTID_51,2018-08-25,AREAID_29,REGION_JH,2017-09-09,1503,6,2.5%-5%,3500,55,6
POINTID_58,2018-08-25,AREAID_7,REGIONID_N,2018-01-13,845,4,1%-2.5%,1750,70,9
POINTID_92,2018-08-25,AREAID_4,REGION_JH,2018-07-28,84,2,0%,200,70,14
POINTID_24,2018-08-25,AREAID_20,REGION_JH,2017-06-10,947,4,0%,1600,10,3
POINTID_39,2018-08-25,AREAID_14,REGION_JR2,2017-08-19,2047,5,0%,4900,125,8
POINTID_46,2018-08-25,AREAID_21,REGION_JR1,2017-09-16,1722,7,0%,4000,270,9
POINTID_44,2018-08-25,AREAID_29,REGION_JH,2017-09-09,1544,7,5%-10%,3250,65,5
POINTID_101,2018-08-25,AREAID_15,REGION_JR1,2018-08-04,118,2,0%,350,75,12
POINTID_86,2018-08-25,AREAID_19,REGIONID_JT,2018-07-21,135,2,0%,400,45,8
POINTID_19,2018-08-25,AREAID_7,REGIONID_N,2017-04-15,1890,7,2.5%-5%,4250,155,5
POINTID_37,2018-08-25,AREAID_1,REGION_JH,2017-08-05,1499,5,2.5%-5%,2750,25,5
POINTID_52,2018-08-25,AREAID_29,REGION_JH,2017-09-09,1777,7,0%,3850,50,5
POINTID_98,2018-08-25,AREAID_10,REGIONID_JT,2018-07-14,162,2,0%,500,90,10
POINTID_96,2018-08-25,AREAID_18,REGION_JR2,2018-08-18,37,2,0%,100,110,19
POINTID_8,2018-08-25,AREAID_30,REGIONID_JT,2016-09-03,2054,8,0%,3900,85,6
POINTID_12,2018-08-25,AREAID_30,REGIONID_JT,2016-10-08,1408,8,0%-1%,3250,65,5
POINTID_41,2018-08-25,AREAID_27,REGION_JR1,2017-08-19,1062,3,5%-10%,2150,0,
POINTID_65,2018-08-25,AREAID_2,REGION_JR1,2018-05-26,350,2,0%,900,50,18
POINTID_100,2018-08-25,AREAID_9,REGIONID_N,2018-08-11,83,2,0%,250,145,21
POINTID_108,2018-08-25,AREAID_28,REGION_JR1,2018-08-18,48,2,0%,100,140,24
POINTID_36,2018-08-25,AREAID_1,REGION_JH,2017-08-12,1404,5,5%-10%,3050,30,5
POINTID_34,2018-08-25,AREAID_27,REGION_JR1,2017-07-15,1743,6,0%,4250,110,10
POINTID_53,2018-08-25,AREAID_24,REGIONID_JT,2017-11-11,1430,6,0%,2550,95,9
POINTID_64,2018-08-25,AREAID_13,REGION_JR2,2018-05-05,377,2,0%,950,30,5
POINTID_75,2018-08-25,AREAID_6,REGIONID_JT,2018-05-26,447,2,0%,1350,200,31
POINTID_61,2018-08-25,AREAID_25,REGIONID_JT,2018-07-21,113,2,0%,300,40,14
POINTID_38,2018-08-25,AREAID_1,REGION_JH,2017-08-12,1518,5,2.5%-5%,3050,30,6
POINTID_74,2018-08-25,AREAID_16,REGIONID_JT,2018-07-07,198,1,0%,600,30,5
POINTID_97,2018-08-25,AREAID_15,REGION_JR1,2018-07-21,189,2,0%,550,20,4
POINTID_93,2018-08-25,AREAID_23,REGION_JR2,2018-07-28,212,2,0%,600,105,18
POINTID_29,2018-08-25,AREAID_14,REGION_JR2,2017-07-29,2590,7,0%,6150,275,7
POINTID_63,2018-08-25,AREAID_13,REGION_JR2,2018-05-05,385,2,0%,950,95,17
POINTID_59,2018-08-25,AREAID_25,REGIONID_JT,2018-05-05,320,2,0%,800,110,19
POINTID_73,2018-08-25,AREAID_16,REGIONID_JT,2018-05-26,328,3,0%,1000,135,13
POINTID_82,2018-08-25,AREAID_9,REGIONID_N,2018-07-21,237,2,0%,750,125,18
POINTID_68,2018-08-25,AREAID_5,REGIONID_N,2018-06-30,283,2,0%,900,150,22
POINTID_15,2018-08-25,AREAID_8,REGIONID_JT,2016-11-12,1867,6,>10%,4750,0,
POINTID_35,2018-08-25,AREAID_1,REGION_JH,2017-07-29,1492,6,5%-10%,2550,60,1
POINTID_33,2018-08-25,AREAID_27,REGION_JR1,2017-07-22,1010,3,1%-2.5%,2750,25,2
POINTID_47,2018-08-25,AREAID_21,REGION_JR1,2017-09-16,2315,9,0%,4750,165,9
POINTID_60,2018-08-25,AREAID_25,REGIONID_JT,2018-04-28,369,4,0%,1000,95,31
POINTID_83,2018-08-25,AREAID_5,REGIONID_N,2018-07-14,191,2,0%,600,105,15
POINTID_94,2018-08-25,AREAID_23,REGION_JR2,2018-07-28,144,3,0%,400,135,23
POINTID_81,2018-08-25,AREAID_26,REGIONID_N,2018-07-21,132,2,0%,350,105,18
POINTID_85,2018-08-25,AREAID_22,REGIONID_JT,2018-08-04,71,1,0%,200,135,43
POINTID_50,2018-08-25,AREAID_29,REGION_JH,2017-09-09,1137,6,1%-2.5%,2600,35,3
POINTID_48,2018-08-25,AREAID_21,REGION_JR1,2017-09-09,1587,8,0%-1%,3500,120,6
POINTID_32,2018-08-25,AREAID_27,REGION_JR1,2017-07-22,1551,8,1%-2.5%,4100,140,8
POINTID_78,2018-08-25,AREAID_28,REGION_JR1,2018-05-26,375,2,0%,1000,105,18
POINTID_30,2018-08-25,AREAID_14,REGION_JR2,2017-07-29,2588,7,0%,5800,290,6
POINTID_43,2018-08-25,AREAID_29,REGION_JH,2017-09-09,1883,8,>10%,4400,35,6
POINTID_80,2018-08-25,AREAID_26,REGIONID_N,2018-07-21,101,1,0%,250,45,8
POINTID_102,2018-08-25,AREAID_26,REGIONID_N,2018-08-04,51,2,0%,100,30,5
POINTID_90,2018-08-25,AREAID_11,REGION_JH,2018-08-11,13,1,0%,0,5,2
POINTID_103,2018-08-25,AREAID_18,REGION_JR2,2018-08-18,40,1,0%,100,120,40
POINTID_51,2018-08-18,AREAID_29,REGION_JH,2017-09-09,1491,6,1%-2.5%,3550,70,7
POINTID_14,2018-08-18,AREAID_8,REGIONID_JT,2016-10-15,1534,7,>10%,4000,25,0
POINTID_48,2018-08-18,AREAID_21,REGION_JR1,2017-09-09,1557,7,0%-1%,3500,105,6
POINTID_64,2018-08-18,AREAID_13,REGION_JR2,2018-05-05,367,2,0%,950,35,7
POINTID_75,2018-08-18,AREAID_6,REGIONID_JT,2018-05-26,386,2,0%,1150,160,25
POINTID_23,2018-08-18,AREAID_7,REGIONID_N,2017-05-06,1442,8,2.5%-5%,3300,105,7
POINTID_35,2018-08-18,AREAID_1,REGION_JH,2017-07-29,1500,6,5%-10%,2550,65,8
POINTID_28,2018-08-18,AREAID_20,REGION_JH,2017-06-03,977,4,1%-2.5%,1950,10,0
POINTID_44,2018-08-18,AREAID_29,REGION_JH,2017-09-09,1524,7,5%-10%,3300,95,6
POINTID_46,2018-08-18,AREAID_21,REGION_JR1,2017-09-16,1668,7,0%,3850,195,12
POINTID_42,2018-08-18,AREAID_27,REGION_JR1,2017-09-09,1109,5,0%,2700,110,7
POINTID_66,2018-08-18,AREAID_2,REGION_JR1,2018-05-26,350,1,0%,950,70,12
POINTID_62,2018-08-18,AREAID_13,REGION_JR2,2018-05-05,380,2,0%,950,70,12
POINTID_86,2018-08-18,AREAID_19,REGIONID_JT,2018-07-21,120,2,0%,350,115,19
POINTID_101,2018-08-18,AREAID_15,REGION_JR1,2018-08-04,94,2,0%,250,155,26
POINTID_19,2018-08-18,AREAID_7,REGIONID_N,2017-04-15,1876,7,2.5%-5%,4250,65,3
POINTID_57,2018-08-18,AREAID_24,REGIONID_JT,2017-11-11,1150,5,0%,2050,55,10
POINTID_72,2018-08-18,AREAID_19,REGIONID_JT,2018-05-19,406,2,0%,1150,80,14
POINTID_63,2018-08-18,AREAID_13,REGION_JR2,2018-05-05,352,2,0%,900,65,11
POINTID_8,2018-08-18,AREAID_30,REGIONID_JT,2016-09-03,2031,8,0%,3950,245,9
POINTID_12,2018-08-18,AREAID_30,REGIONID_JT,2016-10-08,1401,8,0%-1%,3300,120,5
POINTID_41,2018-08-18,AREAID_27,REGION_JR1,2017-08-19,1063,5,5%-10%,2250,25,4
POINTID_30,2018-08-18,AREAID_14,REGION_JR2,2017-07-29,2560,7,0%,5700,310,11
POINTID_31,2018-08-18,AREAID_14,REGION_JR2,2017-07-29,2312,6,0%,5200,240,10
POINTID_65,2018-08-18,AREAID_2,REGION_JR1,2018-05-26,332,2,0%,900,105,18
POINTID_102,2018-08-18,AREAID_26,REGIONID_N,2018-08-04,41,2,0%,100,80,14
POINTID_100,2018-08-18,AREAID_9,REGIONID_N,2018-08-11,41,2,0%,100,140,21
POINTID_90,2018-08-18,AREAID_11,REGION_JH,2018-08-11,11,1,0%,0,30,11
POINTID_39,2018-08-18,AREAID_14,REGION_JR2,2017-08-19,2013,5,0%,4950,220,10
POINTID_60,2018-08-18,AREAID_25,REGIONID_JT,2018-04-28,338,2,0%,900,155,50
POINTID_83,2018-08-18,AREAID_5,REGIONID_N,2018-07-14,161,2,0%,500,160,24
POINTID_89,2018-08-18,AREAID_11,REGION_JH,2018-07-28,55,2,0%,100,55,11
POINTID_85,2018-08-18,AREAID_22,REGIONID_JT,2018-08-04,28,1,0%,50,60,18
POINTID_52,2018-08-18,AREAID_29,REGION_JH,2017-09-09,1761,6,0%,3900,90,8
POINTID_38,2018-08-18,AREAID_1,REGION_JH,2017-08-12,1521,5,2.5%-5%,3100,65,6
POINTID_56,2018-08-18,AREAID_24,REGIONID_JT,2017-11-11,1170,4,0%,2050,65,8
POINTID_67,2018-08-18,AREAID_5,REGIONID_N,2018-04-28,712,3,0%,2050,105,11
POINTID_73,2018-08-18,AREAID_16,REGIONID_JT,2018-05-26,290,3,0%,900,160,16
POINTID_74,2018-08-18,AREAID_16,REGIONID_JT,2018-07-07,189,1,0%,600,165,24
POINTID_82,2018-08-18,AREAID_9,REGIONID_N,2018-07-21,201,2,0%,650,200,29
POINTID_93,2018-08-18,AREAID_23,REGION_JR2,2018-07-28,176,2,0%,500,255,43
POINTID_34,2018-08-18,AREAID_27,REGION_JR1,2017-07-15,1707,6,0%,4250,65,6
POINTID_71,2018-08-18,AREAID_19,REGIONID_JT,2018-06-02,359,3,0%,1050,190,20
POINTID_78,2018-08-18,AREAID_28,REGION_JR1,2018-05-26,340,2,0%,900,125,22
POINTID_77,2018-08-18,AREAID_6,REGIONID_JT,2018-07-14,126,2,0%,350,105,17
POINTID_91,2018-08-18,AREAID_4,REGION_JH,2018-07-28,75,1,0%,200,55,21
POINTID_92,2018-08-18,AREAID_4,REGION_JH,2018-07-28,56,2,0%,100,45,9
POINTID_15,2018-08-18,AREAID_8,REGIONID_JT,2016-11-12,1867,6,>10%,4850,0,1
POINTID_33,2018-08-18,AREAID_27,REGION_JR1,2017-07-22,1006,3,0%-1%,2800,90,7
POINTID_22,2018-08-18,AREAID_7,REGIONID_N,2017-04-29,1059,6,5%-10%,2150,105,8
POINTID_87,2018-08-18,AREAID_16,REGIONID_JT,2018-07-21,139,2,0%,450,135,21
POINTID_10,2018-08-18,AREAID_8,REGIONID_JT,2016-09-10,1254,7,>10%,2600,0,
POINTID_16,2018-08-18,AREAID_8,REGIONID_JT,2017-03-25,2787,9,2.5%-5%,6550,180,0
POINTID_29,2018-08-18,AREAID_14,REGION_JR2,2017-07-29,2544,7,0%,6050,365,13
POINTID_97,2018-08-18,AREAID_15,REGION_JR1,2018-07-21,181,2,0%,550,175,28
POINTID_76,2018-08-18,AREAID_6,REGIONID_JT,2018-08-11,33,2,0%,100,105,17
POINTID_17,2018-08-18,AREAID_8,REGIONID_JT,2017-03-25,2886,10,0%,5900,125,5
POINTID_80,2018-08-18,AREAID_26,REGIONID_N,2018-07-21,85,1,0%,200,70,12
POINTID_53,2018-08-18,AREAID_24,REGIONID_JT,2017-11-11,1397,5,0%,2550,85,8
POINTID_32,2018-08-18,AREAID_27,REGION_JR1,2017-07-22,1521,7,1%-2.5%,4100,110,6
POINTID_50,2018-08-18,AREAID_29,REGION_JH,2017-09-09,1130,5,1%-2.5%,2650,30,3
POINTID_58,2018-08-18,AREAID_7,REGIONID_N,2018-01-13,820,3,1%-2.5%,1700,50,6
POINTID_37,2018-08-18,AREAID_1,REGION_JH,2017-08-05,1498,5,2.5%-5%,2850,60,6
POINTID_9,2018-08-18,AREAID_31,REGIONID_JT,2016-09-17,1954,8,0%-1%,3500,55,2
POINTID_40,2018-08-18,AREAID_14,REGION_JR2,2017-08-26,1910,6,0%,4550,210,6
POINTID_54,2018-08-18,AREAID_24,REGIONID_JT,2017-11-11,1369,5,0%,2550,15,3
POINTID_25,2018-08-18,AREAID_20,REGION_JH,2017-06-10,1208,5,0%,2450,85,3
POINTID_59,2018-08-18,AREAID_25,REGIONID_JT,2018-05-05,282,2,0%,700,105,34
POINTID_68,2018-08-18,AREAID_5,REGIONID_N,2018-06-30,240,2,0%,750,150,22
POINTID_95,2018-08-18,AREAID_18,REGION_JR2,2018-08-11,16,1,0%,0,45,16
POINTID_47,2018-08-18,AREAID_21,REGION_JR1,2017-09-16,2259,8,0%,4700,460,23
