branch,cutoff_date,area,region,first_date_disbursement,active_borrowers,active_agent,deliquency_rate,outstanding,weekly_disbursement,weekly_new_borrower_per_bp
POINTID_105,2018-10-20,AREAID_12,REGION_JR1,2018-08-25,310,3,0%,850,180,30
POINTID_88,2018-10-20,AREAID_10,REGIONID_JT,2018-09-08,176,2,0%,500,125,21
POINTID_100,2018-10-20,AREAID_9,REGIONID_N,2018-08-11,295,2,0%,900,20,2
POINTID_110,2018-10-20,AREAID_4,REGION_JH,2018-09-08,98,1,0%,250,65,24
POINTID_112,2018-10-20,AREAID_3,REGION_JR2,2018-09-29,61,1,0%,150,115,39
POINTID_38,2018-10-20,AREAID_1,REGION_JH,2017-08-12,1496,6,2.5%-5%,2.750,175,2
POINTID_37,2018-10-20,AREAID_1,REGION_JH,2017-08-05,1559,7,2.5%-5%,2.600,95,3
POINTID_107,2018-10-20,AREAID_22,REGIONID_JT,2018-08-25,153,2,0%,400,65,11
POINTID_47,2018-10-20,AREAID_21,REGION_JR1,2017-09-16,2526,9,0%-1%,4.550,95,4
POINTID_44,2018-10-20,AREAID_29,REGION_JH,2017-09-09,1713,9,>10%,3.150,105,7
POINTID_28,2018-10-20,AREAID_20,REGION_JH,2017-06-03,1156,8,5%-10%,1.850,-,1
POINTID_81,2018-10-20,AREAID_26,REGIONID_N,2018-07-21,360,2,0%,950,65,12
POINTID_48,2018-10-20,AREAID_21,REGION_JR1,2017-09-09,1743,8,1%-2.5%,3.500,95,-
POINTID_36,2018-10-20,AREAID_1,REGION_JH,2017-08-12,1557,6,5%-10%,3.150,135,7
POINTID_58,2018-10-20,AREAID_7,REGIONID_N,2018-01-13,938,5,1%-2.5%,1.600,15,3
POINTID_32,2018-10-20,AREAID_27,REGION_JR1,2017-07-22,1501,8,>10%,3.200,-,
POINTID_51,2018-10-20,AREAID_29,REGION_JH,2017-09-09,1580,8,>10%,3.100,105,5
POINTID_78,2018-10-20,AREAID_28,REGION_JR1,2018-05-26,783,4,0%,2.000,280,23
POINTID_70,2018-10-20,AREAID_9,REGIONID_N,2018-05-12,816,3,0%,2.200,125,12
POINTID_77,2018-10-20,AREAID_6,REGIONID_JT,2018-07-14,438,2,0%,1.200,110,19
POINTID_39,2018-10-20,AREAID_14,REGION_JR2,2017-08-19,2163,5,0%,4.750,135,3
POINTID_15,2018-10-20,AREAID_8,REGIONID_JT,2016-11-12,1832,10,>10%,4.150,75,2
POINTID_23,2018-10-20,AREAID_7,REGIONID_N,2017-05-06,1404,9,2.5%-5%,2.900,135,5
POINTID_66,2018-10-20,AREAID_2,REGION_JR1,2018-05-26,858,4,0%,2.200,290,24
POINTID_60,2018-10-20,AREAID_25,REGIONID_JT,2018-04-28,693,3,0%,1.750,185,21
POINTID_14,2018-10-20,AREAID_8,REGIONID_JT,2016-10-15,1486,8,>10%,3.350,115,2
POINTID_75,2018-10-20,AREAID_6,REGIONID_JT,2018-05-26,631,2,0%,1.650,95,15
POINTID_30,2018-10-20,AREAID_14,REGION_JR2,2017-07-29,2695,7,0%,6.100,320,6
POINTID_43,2018-10-20,AREAID_29,REGION_JH,2017-09-09,1888,10,>10%,3.600,55,7
POINTID_12,2018-10-20,AREAID_30,REGIONID_JT,2016-10-08,1442,9,0%-1%,3.150,70,2
POINTID_41,2018-10-20,AREAID_27,REGION_JR1,2017-08-19,1042,4,5%-10%,1.700,-,
POINTID_96,2018-10-20,AREAID_18,REGION_JR2,2018-08-18,214,2,0%,550,80,14
POINTID_65,2018-10-20,AREAID_2,REGION_JR1,2018-05-26,655,3,0%,1.700,170,17
POINTID_108,2018-10-20,AREAID_28,REGION_JR1,2018-08-18,484,3,0%,1.350,335,38
POINTID_109,2018-10-20,AREAID_13,REGION_JR2,2018-09-08,207,2,0%,550,60,11
POINTID_90,2018-10-20,AREAID_11,REGION_JH,2018-08-11,212,2,0%,550,140,24
POINTID_9,2018-10-20,AREAID_31,REGIONID_JT,2016-09-17,1826,10,0%-1%,3.750,350,5
POINTID_29,2018-10-20,AREAID_14,REGION_JR2,2017-07-29,2787,8,0%,6.250,170,5
POINTID_19,2018-10-20,AREAID_7,REGIONID_N,2017-04-15,1904,8,5%-10%,4.050,85,1
POINTID_67,2018-10-20,AREAID_5,REGIONID_N,2018-04-28,1008,4,0%,2.600,100,10
POINTID_72,2018-10-20,AREAID_19,REGIONID_JT,2018-05-19,564,3,0%,1.350,60,7
POINTID_74,2018-10-20,AREAID_16,REGIONID_JT,2018-07-07,658,4,0%,1.900,185,21
POINTID_97,2018-10-20,AREAID_15,REGION_JR1,2018-07-21,507,4,0%,1.400,145,22
POINTID_17,2018-10-20,AREAID_8,REGIONID_JT,2017-03-25,2655,12,0%,5.550,260,3
POINTID_118,2018-10-20,AREAID_20,REGION_JH,2017-06-03,659,8,5%-10%,900,-,
POINTID_79,2018-10-20,AREAID_28,REGION_JR1,2018-08-04,303,2,0%,800,155,26
POINTID_106,2018-10-20,AREAID_22,REGIONID_JT,2018-08-25,172,2,0%,450,80,13
POINTID_46,2018-10-13,AREAID_21,REGION_JR1,2017-09-16,2046,8,0%-1%,4550,185,8
POINTID_86,2018-10-13,AREAID_19,REGIONID_JT,2018-07-21,321,2,0%,850,65,12
POINTID_28,2018-10-13,AREAID_20,REGION_JH,2017-06-03,1155,6,5%-10%,1900,25,5
POINTID_101,2018-10-13,AREAID_15,REGION_JR1,2018-08-04,406,2,0%,1100,75,13
POINTID_62,2018-10-13,AREAID_13,REGION_JR2,2018-05-05,635,3,0%,1500,115,13
POINTID_17,2018-10-13,AREAID_8,REGIONID_JT,2017-03-25,2684,11,0%,5550,130,2
POINTID_118,2018-10-13,AREAID_20,REGION_JH,2017-06-03,676,5,5%-10%,950,0,
POINTID_100,2018-10-13,AREAID_9,REGIONID_N,2018-08-11,289,2,0%,900,110,11
POINTID_98,2018-10-13,AREAID_10,REGIONID_JT,2018-07-14,393,2,0%,1050,140,24
POINTID_109,2018-10-13,AREAID_13,REGION_JR2,2018-09-08,186,2,0%,500,120,21
POINTID_102,2018-10-13,AREAID_26,REGIONID_N,2018-08-04,253,2,0%,700,90,15
POINTID_106,2018-10-13,AREAID_22,REGIONID_JT,2018-08-25,146,2,0%,400,95,16
POINTID_19,2018-10-13,AREAID_7,REGIONID_N,2017-04-15,1930,8,5%-10%,4150,135,4
POINTID_37,2018-10-13,AREAID_1,REGION_JH,2017-08-05,1551,7,2.5%-5%,2600,60,2
POINTID_57,2018-10-13,AREAID_24,REGIONID_JT,2017-11-11,1277,7,0%,1900,125,15
POINTID_95,2018-10-13,AREAID_18,REGION_JR2,2018-08-11,384,3,0%,1050,95,11
POINTID_74,2018-10-13,AREAID_16,REGIONID_JT,2018-07-07,595,4,0%,1750,290,24
POINTID_93,2018-10-13,AREAID_23,REGION_JR2,2018-07-28,599,3,0%,1600,245,28
POINTID_49,2018-10-13,AREAID_21,REGION_JR1,2017-09-16,1848,8,2.5%-5%,3550,80,2
POINTID_14,2018-10-13,AREAID_8,REGIONID_JT,2016-10-15,1489,8,>10%,3400,45,1
POINTID_51,2018-10-13,AREAID_29,REGION_JH,2017-09-09,1558,8,>10%,3100,105,4
POINTID_64,2018-10-13,AREAID_13,REGION_JR2,2018-05-05,646,3,0%,1550,135,15
POINTID_91,2018-10-13,AREAID_4,REGION_JH,2018-07-28,224,2,0%,550,65,25
POINTID_35,2018-10-13,AREAID_1,REGION_JH,2017-07-29,1517,6,5%-10%,2500,130,3
POINTID_44,2018-10-13,AREAID_29,REGION_JH,2017-09-09,1689,10,>10%,3150,75,4
POINTID_47,2018-10-13,AREAID_21,REGION_JR1,2017-09-16,2531,8,0%,4600,185,8
POINTID_23,2018-10-13,AREAID_7,REGIONID_N,2017-05-06,1389,9,2.5%-5%,2900,105,8
POINTID_89,2018-10-13,AREAID_11,REGION_JH,2018-07-28,223,2,0%,500,70,14
POINTID_94,2018-10-13,AREAID_23,REGION_JR2,2018-07-28,451,3,0%,1200,110,19
POINTID_66,2018-10-13,AREAID_2,REGION_JR1,2018-05-26,764,3,0%,1950,205,20
POINTID_29,2018-10-13,AREAID_14,REGION_JR2,2017-07-29,2778,8,0%,6350,225,7
POINTID_52,2018-10-13,AREAID_29,REGION_JH,2017-09-09,1956,8,0%,3950,240,6
POINTID_56,2018-10-13,AREAID_24,REGIONID_JT,2017-11-11,1351,8,0%,2000,135,12
POINTID_67,2018-10-13,AREAID_5,REGIONID_N,2018-04-28,980,5,0%,2550,135,13
POINTID_72,2018-10-13,AREAID_19,REGIONID_JT,2018-05-19,543,3,0%,1300,60,7
POINTID_53,2018-10-13,AREAID_24,REGIONID_JT,2017-11-11,1686,8,0%,2800,80,3
POINTID_92,2018-10-13,AREAID_4,REGION_JH,2018-07-28,286,2,0%,700,105,19
POINTID_75,2018-10-13,AREAID_6,REGIONID_JT,2018-05-26,601,2,0%,1600,80,24
POINTID_104,2018-10-13,AREAID_12,REGION_JR1,2018-09-15,79,1,0%,200,105,36
POINTID_12,2018-10-13,AREAID_30,REGIONID_JT,2016-10-08,1445,9,0%-1%,3200,110,5
POINTID_65,2018-10-13,AREAID_2,REGION_JR1,2018-05-26,606,3,0%,1600,145,13
POINTID_80,2018-10-13,AREAID_26,REGIONID_N,2018-07-21,210,2,0%,550,20,6
POINTID_88,2018-10-13,AREAID_10,REGIONID_JT,2018-09-08,134,2,0%,350,50,9
POINTID_96,2018-10-13,AREAID_18,REGION_JR2,2018-08-18,187,2,0%,500,25,9
POINTID_103,2018-10-13,AREAID_18,REGION_JR2,2018-08-18,213,2,0%,550,85,29
POINTID_110,2018-10-13,AREAID_4,REGION_JH,2018-09-08,74,1,0%,150,40,14
POINTID_45,2018-10-13,AREAID_21,REGION_JR1,2017-09-16,2281,9,0%-1%,4400,30,0
POINTID_43,2018-10-13,AREAID_29,REGION_JH,2017-09-09,1882,8,>10%,3650,25,9
POINTID_108,2018-10-13,AREAID_28,REGION_JR1,2018-08-18,372,3,0%,1050,220,25
POINTID_41,2018-10-13,AREAID_27,REGION_JR1,2017-08-19,1054,4,5%-10%,1800,10,2
POINTID_111,2018-10-13,AREAID_12,REGION_JR1,2018-09-22,46,2,0%,100,60,11
POINTID_82,2018-10-13,AREAID_9,REGIONID_N,2018-07-21,412,2,0%,1250,145,21
POINTID_25,2018-10-13,AREAID_20,REGION_JH,2017-06-10,1562,7,0%-1%,2800,250,9
POINTID_97,2018-10-13,AREAID_15,REGION_JR1,2018-07-21,463,3,0%,1300,105,16
POINTID_73,2018-10-13,AREAID_16,REGIONID_JT,2018-05-26,540,3,0%,1450,80,10
POINTID_39,2018-10-13,AREAID_14,REGION_JR2,2017-08-19,2157,5,0%,4800,230,4
POINTID_33,2018-10-13,AREAID_27,REGION_JR1,2017-07-22,991,4,>10%,2200,0,
POINTID_83,2018-10-13,AREAID_5,REGIONID_N,2018-07-14,380,3,0%,1150,100,15
POINTID_85,2018-10-13,AREAID_22,REGIONID_JT,2018-08-04,339,2,0%,950,90,15
POINTID_81,2018-10-13,AREAID_26,REGIONID_N,2018-07-21,337,2,0%,900,110,19
